Nome;Sobrenome;Posicao_Jogador;ID_Jogador;ID_Jogo;Data_Hora_Jogo;Nome_Time;Nome_Oponente;Casa;Minutos;Pontos;Assistencias;3PTS_Feitos;reboundsDefensive;reboundsOffensive;Rebotes
Gary;Payton II;G;1627780.0;22500788;11/02/2026;Warriors;Spurs;1.0;14.21;10.0;5.0;2.0;0.0;0.0;0.0
De'Aaron;Fox;G;1628368.0;22500788;11/02/2026;Spurs;Warriors;0.0;32.16;27.0;8.0;3.0;0.0;0.0;0.0
Luke;Kornet;C-F;1628436.0;22500788;11/02/2026;Spurs;Warriors;0.0;15.17;4.0;2.0;0.0;1.0;2.0;3.0
De'Anthony;Melton;G;1629001.0;22500788;11/02/2026;Warriors;Spurs;1.0;25.06;17.0;7.0;5.0;3.0;0.0;3.0
Jordan;McLaughlin;G;1629162.0;22500788;11/02/2026;Spurs;Warriors;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
Keldon;Johnson;F-G;1629640.0;22500788;11/02/2026;Spurs;Warriors;0.0;29.19;21.0;2.0;2.0;4.0;2.0;6.0
Devin;Vassell;G-F;1630170.0;22500788;11/02/2026;Spurs;Warriors;0.0;28.28;8.0;2.0;1.0;4.0;0.0;4.0
Pat;Spencer;G;1630311.0;22500788;11/02/2026;Warriors;Spurs;1.0;30.38;9.0;4.0;0.0;3.0;1.0;4.0
Moses;Moody;G;1630541.0;22500788;11/02/2026;Warriors;Spurs;1.0;35.01;17.0;2.0;3.0;3.0;1.0;4.0
Julian;Champagnie;F;1630577.0;22500788;11/02/2026;Spurs;Warriors;0.0;19.48;0.0;1.0;0.0;2.0;1.0;3.0
Gui;Santos;F;1630611.0;22500788;11/02/2026;Warriors;Spurs;1.0;29.46;9.0;6.0;0.0;2.0;3.0;5.0
Victor;Wembanyama;F-C;1641705.0;22500788;11/02/2026;Spurs;Warriors;0.0;33.29;26.0;4.0;2.0;9.0;0.0;9.0
Brandin;Podziemski;G;1641764.0;22500788;11/02/2026;Warriors;Spurs;1.0;35.57;16.0;2.0;1.0;3.0;2.0;5.0
Stephon;Castle;G;1642264.0;22500788;11/02/2026;Spurs;Warriors;0.0;21.28;8.0;4.0;0.0;1.0;3.0;4.0
Quinten;Post;C;1642366.0;22500788;11/02/2026;Warriors;Spurs;1.0;13.06;12.0;2.0;3.0;2.0;1.0;3.0
Dylan;Harper;G;1642844.0;22500788;11/02/2026;Spurs;Warriors;0.0;29;14.0;8.0;1.0;4.0;1.0;5.0
Carter;Bryant;F;1642868.0;22500788;11/02/2026;Spurs;Warriors;0.0;9.1;8.0;1.0;1.0;4.0;1.0;5.0
Will;Richard;G;1642954.0;22500788;11/02/2026;Warriors;Spurs;1.0;;0.0;0.0;0.0;0.0;0.0;0.0
Al;Horford;C-F;201143.0;22500788;11/02/2026;Warriors;Spurs;1.0;26.24;6.0;1.0;0.0;4.0;0.0;4.0
Bismack;Biyombo;C;202687.0;22500788;11/02/2026;Spurs;Warriors;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
Harrison;Barnes;F;203084.0;22500788;11/02/2026;Spurs;Warriors;0.0;21.45;10.0;3.0;0.0;1.0;4.0;5.0
Draymond;Green;F;203110.0;22500788;11/02/2026;Warriors;Spurs;1.0;29.42;17.0;8.0;2.0;10.0;2.0;12.0
Kelly;Olynyk;F-C;203482.0;22500788;11/02/2026;Spurs;Warriors;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
Kristaps;Porzingis;F-C;204001.0;22500788;11/02/2026;Warriors;Spurs;1.0;;0.0;0.0;0.0;0.0;0.0;0.0
Royce;O'Neale;F;1626220.0;22500785;11/02/2026;Suns;Thunder;1.0;23.34;12.0;2.0;4.0;2.0;0.0;2.0
Alex;Caruso;G;1627936.0;22500785;11/02/2026;Thunder;Suns;0.0;7.5;0.0;0.0;0.0;1.0;0.0;1.0
Isaiah;Hartenstein;C-F;1628392.0;22500785;11/02/2026;Thunder;Suns;0.0;17.37;8.0;6.0;0.0;3.0;1.0;4.0
Dillon;Brooks;G-F;1628415.0;22500785;11/02/2026;Suns;Thunder;1.0;24.23;23.0;4.0;1.0;3.0;2.0;5.0
Kenrich;Williams;G-F;1629026.0;22500785;11/02/2026;Thunder;Suns;0.0;23.01;15.0;2.0;2.0;2.0;4.0;6.0
Amir;Coffey;G-F;1629599.0;22500785;11/02/2026;Suns;Thunder;1.0;20.08;9.0;2.0;1.0;4.0;1.0;5.0
Luguentz;Dort;G;1629652.0;22500785;11/02/2026;Thunder;Suns;0.0;23.42;9.0;1.0;1.0;0.0;0.0;0.0
Isaiah;Joe;G;1630198.0;22500785;11/02/2026;Thunder;Suns;0.0;18.09;21.0;1.0;6.0;1.0;0.0;1.0
Aaron;Wiggins;G;1630598.0;22500785;11/02/2026;Thunder;Suns;0.0;25.03;12.0;2.0;0.0;3.0;0.0;3.0
Jordan;Goodwin;G;1630692.0;22500785;11/02/2026;Suns;Thunder;1.0;27.41;12.0;4.0;2.0;2.0;2.0;4.0
Chet;Holmgren;C-F;1631096.0;22500785;11/02/2026;Thunder;Suns;0.0;20.3;13.0;2.0;0.0;4.0;0.0;4.0
Mark;Williams;C;1631109.0;22500785;11/02/2026;Suns;Thunder;1.0;15.57;6.0;0.0;0.0;0.0;1.0;1.0
Jalen;Williams;G-F;1631114.0;22500785;11/02/2026;Thunder;Suns;0.0;19.38;28.0;5.0;2.0;3.0;1.0;4.0
Jaylin;Williams;F;1631119.0;22500785;11/02/2026;Thunder;Suns;0.0;28.1;11.0;5.0;1.0;6.0;0.0;6.0
Jamaree;Bouyea;G;1631123.0;22500785;11/02/2026;Suns;Thunder;1.0;26.36;11.0;6.0;1.0;3.0;0.0;3.0
Buddy;Boeheim;;1631205.0;22500785;11/02/2026;Thunder;Suns;0.0;7.49;3.0;0.0;1.0;0.0;0.0;0.0
Collin;Gillespie;G;1631221.0;22500785;11/02/2026;Suns;Thunder;1.0;22.32;6.0;3.0;2.0;3.0;2.0;5.0
Cason;Wallace;G;1641717.0;22500785;11/02/2026;Thunder;Suns;0.0;26.13;4.0;3.0;0.0;3.0;1.0;4.0
Jared;McCain;G;1642272.0;22500785;11/02/2026;Thunder;Suns;0.0;22.18;12.0;1.0;2.0;3.0;1.0;4.0
Oso;Ighodaro;F;1642345.0;22500785;11/02/2026;Suns;Thunder;1.0;16.49;8.0;2.0;0.0;1.0;3.0;4.0
Ryan;Dunn;F;1642346.0;22500785;11/02/2026;Suns;Thunder;1.0;22.48;2.0;1.0;0.0;4.0;0.0;4.0
Rasheer;Fleming;F;1642853.0;22500785;11/02/2026;Suns;Thunder;1.0;19.43;8.0;2.0;2.0;1.0;2.0;3.0
