Nome;Sobrenome;POS;player_id;image_path
A.J.;Green;G;1631260.0;assets/players/1631260.png
A.J.;Lawson;G;1630639.0;assets/players/1630639.png
Aaron;Gordon;F;203932.0;assets/players/203932.png
Aaron;Nesmith;G-F;1630174.0;assets/players/1630174.png
Aaron;Wiggins;G;1630598.0;assets/players/1630598.png
Aaron;Holiday;G;1628988.0;assets/players/1628988.png
Ace;Bailey;F;1642846.0;assets/players/1642846.png
Adem;Bona;F;1641737.0;assets/players/1641737.png
Adou;Thiero;G;1642876.0;assets/players/1642876.png
AJ;Johnson;G;1642358.0;assets/players/1642358.png
Ajay;Mitchell;G;1642349.0;assets/players/1642349.png
Al;Horford;C-F;201143.0;assets/players/201143.png
Alex;Caruso;G;1627936.0;assets/players/1627936.png
Alexandre;Sarr;C;;perfiljogador.png
Alijah;Martin;G;1642918.0;assets/players/1642918.png
Alperen;Sengun;C;1630578.0;assets/players/1630578.png
Amari;Williams;F-C;1642873.0;assets/players/1642873.png
Amen;Thompson;G-F;1641708.0;assets/players/1641708.png
Amir;Coffey;G-F;1629599.0;assets/players/1629599.png
Andre;Drummond;C;203083.0;assets/players/203083.png
Andre;Jackson Jr.;G;1641748.0;assets/players/1641748.png
Andrew;Nembhard;G-F;1629614.0;assets/players/1629614.png
Andrew;Wiggins;F;203952.0;assets/players/203952.png
Anfernee;Simons;G;1629014.0;assets/players/1629014.png
Anthony;Edwards;G;1630162.0;assets/players/1630162.png
Anthony;Davis;F-C;203076.0;assets/players/203076.png
Anthony;Black;G;1641710.0;assets/players/1641710.png
Anthony;Gill;F;1630264.0;assets/players/1630264.png
Antonio;Reeves;G;1641810.0;assets/players/1641810.png
Ariel;Hukporti;C;1630574.0;assets/players/1630574.png
Asa;Newell;F;1642854.0;assets/players/1642854.png
Ausar;Thompson;G-F;1641709.0;assets/players/1641709.png
Austin;Reaves;G;1630559.0;assets/players/1630559.png
Ayo;Dosunmu;G;1630245.0;assets/players/1630245.png
Bam;Adebayo;C-F;1628389.0;assets/players/1628389.png
