jogador;equipe;casa;pts;reb;pr;ast;3p;aposta;DETALHE
Dyson Daniels;ATL;1;11;6;18;;;;
Onyeka Okongwu;ATL;1;14;7;21;;;;
CJ McCollum;ATL;1;18;3;22;;;;
Nickeil Alexander-Walker;ATL;1;18;3;22;;;;
Jalen Johnson;ATL;1;23;11;34;;;;
Asa Newell;ATL;;;;;;;;
Buddy Hield;ATL;;;;;;;;
Corey Kispert;ATL;;;;;;;;
Gabe Vincent;ATL;;;;;;;;
Mouhamed Gueye;ATL;;;;;;;;
Zaccharie Risacher;ATL;;;;;;;;
Day'Ron Sharpe;BKN;1;8;7;15;;;;
Egor Demin;BKN;1;11;3;14;;;;
Nolan Traore;BKN;1;11;2;13;;;;
Noah Clowney;BKN;1;12;4;17;;;;
Michael Porter Jr.;BKN;1;22;7;30;;;;
Cam Thomas;BKN;;;;;;;;
Dennis Schröder;BKN;;;;;;;;
Jalen Wilson;BKN;;;;;;;;
Terance Mann;BKN;;;;;;;;
Ziaire Williams;BKN;;;;;;;;
Baylor Scheierman;BOS;0;7;5;12;;;;
Neemias Queta;BOS;0;8;7;16;;;;
Sam Hauser;BOS;0;9;4;13;;;;
Nikola Vucevic;BOS;0;12;7;20;;;;
Derrick White;BOS;0;17;5;22;;;;
Payton Pritchard;BOS;0;18;3;22;;;;
Jaylen Brown;BOS;0;29;7;36;;;;
Jordan Walsh;BOS;;;;;;;;
Luka Garza;BOS;;;;;;;;
Sion James;CHA;0;3;2;6;;;;
Ryan Kalkbrenner;CHA;0;5;4;9;;;;
Grant Williams;CHA;0;6;3;9;;;;
Moussa Diabate;CHA;0;8;10;19;;;;
Coby White;CHA;0;12;3;15;;;;
Miles Bridges;CHA;0;15;5;21;;;;
Kon Knueppel;CHA;0;17;5;23;;;;
LaMelo Ball;CHA;0;20;4;24;;;;
Brandon Miller;CHA;0;21;4;26;;;;
Josh Green;CHA;;;;;;;;
Mark Williams;CHA;;;;;;;;
Nick Smith Jr.;CHA;;;;;;;;
Seth Curry;CHA;;;;;;;;
Tidjane Salaun;CHA;;;;;;;;
Tre Mann;CHA;;;;;;;;
Guerschon Yabusele;CHI;1;10;5;15;;;;
Isaac Okoro;CHI;1;10;3;13;;;;
Tre Jones;CHI;1;10;2;12;;;;
Jalen Smith;CHI;1;11;6;18;;;;
Josh Giddey;CHI;1;15;5;21;;;;
Matas Buzelis;CHI;1;15;5;20;;;;
Anfernee Simons;CHI;;;;;;;;
Collin Sexton;CHI;;;;;;;;
Jaden Ivey;CHI;;;;;;;;
Dennis Schröder;CLE;1;8;3;11;;;;
Jaylon Tyson;CLE;1;8;4;12;;;;
Evan Mobley;CLE;1;13;6;20;;;;
Jarrett Allen;CLE;1;13;8;22;;;;
James Harden;CLE;1;18;4;23;;;;
Donovan Mitchell;CLE;1;27;4;31;;;;
Caris LeVert;CLE;;;;;;;;
Dean Wade;CLE;;;;;;;;
Georges Niang;CLE;;;;;;;;
Keon Ellis;CLE;;;;;;;;
Sam Merrill;CLE;;;;;;;;
Daniel Gafford;DAL;0;8;6;15;;;;
Klay Thompson;DAL;0;11;2;13;;;;
Brandon Williams;DAL;0;13;2;16;;;;
Khris Middleton;DAL;0;13;4;18;;;;
Max Christie;DAL;0;14;3;18;;;;
P.J. Washington;DAL;0;15;7;23;;;;
Naji Marshall;DAL;0;17;5;23;;;;
AJ Johnson;DAL;;;;;;;;
Caleb Martin;DAL;;;;;;;;
Marvin Bagley III;DAL;;;;;;;;
Tyus Jones;DAL;;;;;;;;
Bruce Brown;DEN;;;;;;;;
Cameron Johnson;DEN;;;;;;;;
Christian Braun;DEN;;;;;;;;
Jalen Pickett;DEN;;;;;;;;
Jamal Murray;DEN;;;;;;;;
Julian Strawther;DEN;;;;;;;;
KJ Simpson;DEN;;;;;;;;
Nikola Jokic;DEN;;;;;;;;
Spencer Jones;DEN;;;;;;;;
Ausar Thompson;DET;;;;;;;;
Cade Cunningham;DET;;;;;;;;
Duncan Robinson;DET;;;;;;;;
Jaden Duren;DET;;;;;;;;
Jaden Ivey;DET;;;;;;;;
Malik Beasley;DET;;;;;;;;
Paul Reed;DET;;;;;;;;
Tim Hardaway Jr.;DET;;;;;;;;
Tobias Harris;DET;;;;;;;;
Draymond Green;GSW;0;9;5;15;;;;
Al Horford;GSW;0;10;7;17;;;;
Pat Spencer;GSW;0;11;3;15;;;;
Gui Santos;GSW;0;13;5;18;;;;
Brandin Podziemski;GSW;0;16;6;22;;;;
De'Anthony Melton;GSW;0;16;3;20;;;;
Moses Moody;GSW;0;18;4;22;;;;
Gary Payton II;GSW;;;;;;;;
Kristaps Porzingis;GSW;;;;;;;;
Quinten Post;GSW;;;;;;;;
Aaron Holiday;HOU;;;;;;;;
Alperen Sengun;HOU;;;;;;;;
Amen Thompson;HOU;;;;;;;;
Cam Whitmore;HOU;;;;;;;;
Jabari Smith Jr.;HOU;;;;;;;;
Jalen Green;HOU;;;;;;;;
Jeff Green;HOU;;;;;;;;
Kevin Durant;HOU;;;;;;;;
Reed Sheppard;HOU;;;;;;;;
Tari Eason;HOU;;;;;;;;
Andrew Nembhard;IND;1;17;2;19;;;;
Jarace Walker;IND;1;18;8;26;;;;
Aaron Nesmith;IND;;;;;;;;
Ben Sheppard;IND;;;;;;;;
Jay Huff;IND;;;;;;;;
Kobe Brown;IND;;;;;;;;
Micah Potter;IND;;;;;;;;
T.J. McConnell;IND;;;;;;;;
Bennedict Mathurin;LAC;;;;;;;;
Bogdan Bogdanovic;LAC;;;;;;;;
Brook Lopez;LAC;;;;;;;;
Derrick Jones Jr.;LAC;;;;;;;;
John Collins;LAC;;;;;;;;
Jordan Miller;LAC;;;;;;;;
Kawhi Leonard;LAC;;;;;;;;
Kobe Sanders;LAC;;;;;;;;
Kris Dunn;LAC;;;;;;;;
Marcus Smart;LAL;1;6;3;9;;;;
Rui Hachimura;LAL;1;8;4;12;;;;
Deandre Ayton;LAL;1;9;7;16;;;;
LeBron James;LAL;1;18;5;24;;;;
Austin Reaves;LAL;1;21;4;26;;;;
Luka Doncic;LAL;1;31;7;38;;;;
Jarred Vanderbilt;LAL;;;;;;;;
Max Christie;LAL;;;;;;;;
Gabe Vincent;LAL;;;;;;;;
Dalton Knecht;LAL;;;;;;;;
Cam Spencer;MEM;;;;;;;;
GG Jackson;MEM;;;;;;;;
Javon Small;MEM;;;;;;;;
Jaylen Wells;MEM;;;;;;;;
John Konchar;MEM;;;;;;;;
Olivier-Maxence Prosper;MEM;;;;;;;;
Scotty Pippen Jr.;MEM;;;;;;;;
Taylor Hendricks;MEM;;;;;;;;
Ty Jerome;MEM;;;;;;;;
Kel'el Ware;MIA;0;8;7;16;;;;
Pelle Larsson;MIA;0;9;4;13;;;;
Jaime Jaquez Jr.;MIA;0;11;4;16;;;;
Andrew Wiggins;MIA;0;14;6;20;;;;
Bam Adebayo;MIA;0;17;10;27;;;;
Tyler Herro;MIA;0;17;5;22;;;;
Norman Powell;MIA;0;20;3;23;;;;
Dru Smith;MIA;;;;;;;;
Kasparas Jakucionis;MIA;;;;;;;;
Keshad Johnson;MIA;;;;;;;;
AJ Green;MIL;1;9;2;11;;;;
Bobby Portis;MIL;1;10;6;16;;;;
Kyle Kuzma;MIL;1;11;4;15;;;;
Myles Turner;MIL;1;11;5;16;;;;
Kevin Porter Jr.;MIL;1;18;4;22;;;;
Ryan Rollins;MIL;1;18;5;23;;;;
